series	season	episode	title	stardate	air date
VOY	3	9	Future's End, Part II	50312.6	1996-11-13
DS9	5	8	Things Past	Unknown	1996-11-18
VOY	3	10	Warlord	50348.1	1996-11-20
DS9	5	9	The Ascent	Unknown	1996-11-25
VOY	3	11	The Q and the Grey	50384.2	1996-11-27
VOY	3	12	Macrocosm	50425.1	1996-12-11
DS9	5	10	Rapture	Unknown	1996-12-30
DS9	5	11	The Darkness and the Light	50416.2	1997-01-06
VOY	3	13	Fair Trade	Unknown	1997-01-08
VOY	3	14	Alter Ego	50460.3	1997-01-15
DS9	5	12	The Begotten	Unknown	1997-01-27
VOY	3	15	Coda	50518.6	1997-01-29
DS9	5	13	For the Uniform	50485.2	1997-02-03
VOY	3	16	Blood Fever	50537.2	1997-02-05
DS9	5	14	In Purgatory's Shadow (Part 1)	Unknown	1997-02-10
VOY	3	17	Unity	50614.2	1997-02-12
DS9	5	15	By Inferno's Light (Part 2)	50564.2	1997-02-17
VOY	3	18	Darkling	50693.2	1997-02-19
DS9	5	16	Doctor Bashir, I Presume?	Unknown	1997-02-24
VOY	3	19	Rise	Unknown	1997-02-26
VOY	3	20	Favorite Son	50732.4	1997-03-19
DS9	5	17	A Simple Investigation	Unknown	1997-03-31
DS9	5	18	Business as Usual	Unknown	1997-04-07
VOY	3	21	Before and After	Unknown	1997-04-09
DS9	5	19	Ties of Blood and Water	50712.5	1997-04-14
DS9	5	20	Ferengi Love Songs	Unknown	1997-04-21
VOY	3	22	Real Life	50836.2	1997-04-23
DS9	5	21	Soldiers of the Empire	Unknown	1997-04-28
VOY	3	23	Distant Origin	Unknown	1997-04-30
DS9	5	22	Children of Time	50814.2	1997-05-05
VOY	3	24	Displaced	50912.4	1997-05-07
DS9	5	23	Blaze of Glory	Unknown	1997-05-12
VOY	3	25	Worst Case Scenario	50953.4	1997-05-14
DS9	5	24	Empok Nor	Unknown	1997-05-19
VOY	3	26	Scorpion, Part I	50984.3	1997-05-21
DS9	5	25	In the Cards	Unknown	1997-06-09
DS9	5	26	Call to Arms	50975.2	1997-06-16
VOY	4	1	Scorpion, Part II	51003.7	1997-09-03
VOY	4	2	The Gift	51008.0	1997-09-10
VOY	4	3	Day of Honor	Unknown	1997-09-17
VOY	4	4	Nemesis	51082.4	1997-09-24
DS9	6	1	A Time to Stand	Unknown	1997-09-29
VOY	4	5	Revulsion	51186.2	1997-10-01
DS9	6	2	Rocks and Shoals	51107.2	1997-10-06
VOY	4	6	The Raven	Unknown	1997-10-08
DS9	6	3	Sons and Daughters	Unknown	1997-10-13
DS9	6	4	Behind the Lines	51149.5	1997-10-20
DS9	6	5	Favor the Bold (Part 1)	Unknown	1997-10-27
VOY	4	7	Scientific Method	51244.3	1997-10-29
DS9	6	6	Sacrifice of Angels (Part 2)	Unknown	1997-11-03
VOY	4	8	Year of Hell, Part I	51268.4	1997-11-05
DS9	6	7	You are Cordially Invited...	51247.5	1997-11-10
VOY	4	9	Year of Hell, Part II	51425.4	1997-11-12
DS9	6	8	Resurrection	Unknown	1997-11-17
VOY	4	10	Random Thoughts	51367.2	1997-11-19
DS9	6	9	Statistical Probabilities	Unknown	1997-11-24
VOY	4	11	Concerning Flight	51386.4	1997-11-26
VOY	4	12	Mortal Coil	51449.2	1997-12-17
DS9	6	10	The Magnificent Ferengi	Unknown	1998-01-01
DS9	6	11	Waltz	51413.6	1998-01-08
VOY	4	13	Waking Moments	51471.3	1998-01-14
VOY	4	14	Message in a Bottle	51462.0	1998-01-21
DS9	6	12	Who Mourns for Morn?	Unknown	1998-02-04
